date,ten_years_rate,three_years_rate
2003/5/6,3.788,1.888
2003/5/7,3.678,1.816
2003/5/8,3.454,1.829
2003/5/9,3.682,1.819
2003/5/12,3.639,1.797
2003/5/13,3.608,1.796
2003/5/14,3.523,1.717
2003/5/15,3.533,1.79
2003/5/16,3.421,1.646
2003/5/19,3.488,1.677
2003/5/20,3.357,1.607
2003/5/21,3.399,1.678
2003/5/22,3.316,1.655
2003/5/23,3.335,1.641
2003/5/27,3.418,1.629
2003/5/28,3.426,1.636
2003/5/29,3.337,1.587
2003/5/30,3.373,1.573
2003/6/2,3.412,1.566
2003/6/3,3.332,1.48
2003/6/4,3.295,1.488
2003/6/5,3.345,1.488
2003/6/6,3.354,1.501
2003/6/9,3.279,1.427
2003/6/10,3.193,1.409
2003/6/11,3.213,1.402
2003/6/12,3.166,1.342
2003/6/13,3.116,1.321
2003/6/16,3.174,1.417
2003/6/17,3.264,1.542
2003/6/18,3.364,1.548
2003/6/19,3.341,1.471
2003/6/20,3.367,1.484
2003/6/23,3.313,1.435
2003/6/24,3.252,1.377
2003/6/25,3.405,1.556
2003/6/26,3.547,1.683
2003/6/27,3.545,1.656
2003/6/30,3.516,1.599
2003/7/1,3.55,1.614
2003/7/2,3.537,1.583
2003/7/3,3.655,1.63
2003/7/7,3.736,1.711
2003/7/8,3.719,1.719
2003/7/9,3.683,1.691
2003/7/10,3.655,1.645
2003/7/11,3.629,1.6
2003/7/14,3.725,1.679
2003/7/15,3.982,1.862
2003/7/16,3.921,1.826
2003/7/17,3.923,1.839
2003/7/18,4.002,1.891
2003/7/21,4.21,2.086
2003/7/22,4.125,2.028
2003/7/23,4.107,1.938
2003/7/24,4.167,1.982
2003/7/25,4.178,1.933
2003/7/28,4.285,2.073
2003/7/29,4.441,2.201
2003/7/30,4.309,2.179
2003/7/31,4.41,2.169
2003/8/1,4.39,2.2
2003/8/4,4.29,2.091
2003/8/5,4.4,2.546
2003/8/6,4.27,2.44
2003/8/7,4.18,2.364
2003/8/8,4.27,2.269
2003/8/11,4.36,2.299
2003/8/12,4.43,2.342
2003/8/13,4.56,2.452
2003/8/14,4.46,2.375
2003/8/15,4.53,2.454
2003/8/18,4.46,2.424
2003/8/19,4.37,2.318
2003/8/20,4.44,2.408
2003/8/21,4.48,2.505
2003/8/22,4.48,2.513
2003/8/25,4.53,2.559
2003/8/26,4.48,2.501
2003/8/27,4.54,2.583
2003/8/28,4.42,2.457
2003/8/29,4.47,2.499
2003/9/1,4.458,2.496
2003/9/2,4.61,2.61
2003/9/3,4.6,2.58
2003/9/4,4.51,2.465
2003/9/5,4.35,2.268
2003/9/8,4.43,2.346
2003/9/9,4.36,2.249
2003/9/10,4.27,2.166
2003/9/11,4.32,2.248
2003/9/12,4.25,2.146
2003/9/15,4.27,2.115
2003/9/16,4.28,2.109
2003/9/17,4.18,2.098
2003/9/18,4.16,2.111
2003/9/19,4.16,2.145
2003/9/22,4.21,2.184
2003/9/23,4.21,2.13
2003/9/24,4.14,2.082
2003/9/25,4.09,2.065
2003/9/26,4,1.965
2003/9/29,4.08,2.02
2003/9/30,3.94,1.868
2003/10/1,3.934,1.859
2003/10/2,3.996,1.894
2003/10/3,4.2,2.093
2003/10/6,4.172,2.06
2003/10/7,4.261,2.109
2003/10/8,4.239,2.082
2003/10/9,4.294,2.112
2003/10/10,4.255,2.088
2003/10/13,4.269,2.101
2003/10/14,4.347,2.164
2003/10/15,4.401,2.233
2003/10/16,4.462,2.393
2003/10/17,4.394,2.331
2003/10/20,4.387,2.33
2003/10/21,4.346,2.305
2003/10/22,4.254,2.22
2003/10/23,4.318,2.281
2003/10/24,4.251,2.187
2003/10/27,4.277,2.234
2003/10/28,4.179,2.126
2003/10/29,4.304,2.228
2003/10/30,4.348,2.299
2003/10/31,4.297,2.248
2003/11/3,4.344,2.3
2003/11/4,4.299,2.275
2003/11/5,4.354,2.355
2003/11/6,4.412,2.414
2003/11/7,4.441,2.467
2003/11/10,4.444,2.627
2003/11/11,4.43,2.627
2003/11/12,4.402,2.6
2003/11/13,4.273,2.454
2003/11/14,4.223,2.36
2003/11/17,4.198,2.329
2003/11/18,4.146,2.301
2003/11/19,4.239,2.408
2003/11/20,4.157,2.321
2003/11/21,4.162,2.353
2003/11/24,4.232,2.433
2003/11/25,4.187,2.384
2003/11/26,4.249,2.463
2003/11/28,4.334,2.558
2003/12/1,4.386,2.614
2003/12/2,4.381,2.603
2003/12/3,4.403,2.598
2003/12/4,4.367,2.573
2003/12/5,4.234,2.42
2003/12/8,4.271,2.447
2003/12/9,4.354,2.509
2003/12/10,4.319,2.451
2003/12/11,4.236,2.322
2003/12/12,4.242,2.339
2003/12/15,4.259,2.356
2003/12/16,4.215,2.315
2003/12/17,4.184,2.324
2003/12/18,4.128,2.303
2003/12/19,4.136,2.302
2003/12/22,4.172,2.34
2003/12/23,4.261,2.408
2003/12/24,4.186,2.31
2003/12/26,4.153,2.267
2003/12/29,4.244,2.321
2003/12/30,4.26,2.311
2003/12/31,4.253,2.304
2004/1/1,4.253,2.304
2004/1/2,4.374,2.421
2004/1/5,4.38,2.379
2004/1/6,4.274,2.289
2004/1/7,4.245,2.262
2004/1/8,4.269,2.274
2004/1/9,4.084,2.081
2004/1/12,4.09,2.034
2004/1/13,4.015,1.998
2004/1/14,3.996,2.009
2004/1/15,3.974,2.037
2004/1/16,4.029,2.028
2004/1/20,4.063,2.093
2004/1/21,4.024,2.073
2004/1/22,3.966,2.031
2004/1/23,4.09,2.005
2004/1/26,4.133,2.109
2004/1/27,4.087,2.102
2004/1/28,4.192,2.057
2004/1/29,4.183,2.26
2004/1/30,4.134,2.211
2004/2/2,4.147,2.205
2004/2/3,4.099,2.17
2004/2/4,4.12,2.164
2004/2/5,4.169,2.189
2004/2/6,4.081,2.156
2004/2/9,4.06,2.137
2004/2/10,4.116,2.141
2004/2/11,4.029,2.206
2004/2/12,4.075,2.232
2004/2/13,4.053,2.161
2004/2/17,4.04,2.114
2004/2/18,4.058,2.145
2004/2/19,4.036,2.176
2004/2/20,4.106,2.185
2004/2/23,4.039,2.179
2004/2/24,4.031,2.138
2004/2/25,4.015,2.132
2004/2/26,4.04,2.146
2004/2/27,3.972,2.162
2004/3/1,3.975,2.088
2004/3/2,4.056,2.113
2004/3/3,4.054,2.195
2004/3/4,4.023,2.167
2004/3/5,3.855,1.946
2004/3/8,3.77,1.92
2004/3/9,3.725,1.868
2004/3/10,3.731,1.887
2004/3/11,3.712,1.84
2004/3/12,3.787,1.851
2004/3/15,3.766,1.875
2004/3/16,3.683,1.849
2004/3/17,3.717,1.83
2004/3/18,3.752,1.873
2004/3/19,3.773,1.911
2004/3/22,3.724,1.877
2004/3/23,3.694,1.863
2004/3/24,3.713,1.849
2004/3/25,3.743,1.854
2004/3/26,3.837,1.87
2004/3/29,3.892,1.964
2004/3/30,3.896,1.961
2004/3/31,3.837,1.938
2004/4/1,3.89,1.941
2004/4/2,4.145,1.996
2004/4/5,4.216,2.264
2004/4/6,4.149,2.252
2004/4/7,4.165,2.241
2004/4/8,4.193,2.275
2004/4/12,4.23,2.292
2004/4/13,4.354,2.335
2004/4/14,4.366,2.436
2004/4/15,4.4,2.476
2004/4/16,4.344,2.425
2004/4/19,4.386,2.419
2004/4/20,4.467,2.498
2004/4/21,4.431,2.573
